Date : 2025-04-25 11:16:38
Directory : c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src
Total : 1189 files,  759776 codes, 226233 comments, 116295 blanks, all 1102304 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C++              |        310 |    494,891 |    121,473 |     65,182 |    681,546 |
| C                |        709 |    220,526 |    104,760 |     42,518 |    367,804 |
| arm-debugger.arm |        142 |     42,775 |          0 |      8,301 |     51,076 |
| YAML             |         11 |        811 |          0 |         24 |        835 |
| CMake            |         14 |        705 |          0 |        234 |        939 |
| Markdown         |          1 |         48 |          0 |         36 |         84 |
| JSON             |          1 |         16 |          0 |          0 |         16 |
| Log              |          1 |          4 |          0 |          0 |          4 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                     |      1,189 |    759,776 |    226,233 |    116,295 |  1,102,304 |
| . (Files)                                                                                                                                                                                                             |         26 |      2,388 |        490 |        167 |      3,045 |
| RTE                                                                                                                                                                                                                   |          2 |         26 |         74 |         23 |        123 |
| RTE\Device                                                                                                                                                                                                            |          1 |         21 |         66 |         18 |        105 |
| RTE\Device\STM32L476RGTx                                                                                                                                                                                              |          1 |         21 |         66 |         18 |        105 |
| RTE\_Target_1                                                                                                                                                                                                         |          1 |          5 |          8 |          5 |         18 |
| STM32CubeMX                                                                                                                                                                                                           |      1,161 |    757,362 |    225,669 |    116,105 |  1,099,136 |
| STM32CubeMX\Target_1                                                                                                                                                                                                  |      1,161 |    757,362 |    225,669 |    116,105 |  1,099,136 |
| STM32CubeMX\Target_1 (Files)                                                                                                                                                                                          |          2 |         76 |          0 |          2 |         78 |
| STM32CubeMX\Target_1\MX_Device                                                                                                                                                                                        |          1 |          4 |          8 |          5 |         17 |
| STM32CubeMX\Target_1\STM32CubeMX                                                                                                                                                                                      |      1,158 |    757,282 |    225,661 |    116,098 |  1,099,041 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers                                                                                                                                                                              |      1,149 |    756,337 |    224,898 |    115,777 |  1,097,012 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS                                                                                                                                                                        |        928 |    631,189 |     97,572 |     81,040 |    809,801 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\Core                                                                                                                                                                   |         26 |     20,127 |      9,646 |      7,161 |     36,934 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\Core\Include                                                                                                                                                           |         24 |     20,001 |      9,570 |      7,103 |     36,674 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\Core\Template                                                                                                                                                          |          2 |        126 |         76 |         58 |        260 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\Core\Template\ARMv8-M                                                                                                                                                  |          2 |        126 |         76 |         58 |        260 |
| STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP                                                                                                                                                                    |        655 |    154,233 |     42,157 |     27,329 |    223,719 |
